,Fund1,Fund2,DTW_distance
0,AB Growth Fund,AMG Montrusco Bolton Large Cap Growth Fd,889.9577430198324
1,AB Growth Fund,Alger Capital Appreciation Fund,330.7267174284922
2,AB Growth Fund,Alger Capital Appreciation Instl Fd,594.4229081030412
3,AB Growth Fund,Alger Spectra Fund,538.13022532148
4,AB Growth Fund,Allspring Growth Fund,364.9522261143227
5,AB Growth Fund,Allspring Large Cap Growth Fund,510.6744522574181
6,AB Growth Fund,Allspring Premier Large Company GrFd,756.5047465379105
7,AB Growth Fund,American Century NT Growth Fund,398.1167663329268
8,AB Growth Fund,American Century Select Fund,544.944994060574
9,AB Growth Fund,BNY Mellon Research Growth Fund,501.2522908639663
10,AB Growth Fund,BlackRock Capital Appreciation Fund,584.2400955654764
11,AB Growth Fund,BlackRock Large Cap Focus Growth Fund,119.63929564819868
12,AB Growth Fund,Calamos Growth Fund,1249.6960807618373
13,AB Growth Fund,Calvert Equity Fund,874.4064018785969
14,AB Growth Fund,ClearBridge Large Cap Growth Fund,426.38079795519377
15,AB Growth Fund,Columbia Large Cap Growth Fund,513.8318152128321
16,AB Growth Fund,Columbia Large Cap Growth Opportunity Fd,614.0156136705219
17,AB Growth Fund,Columbia Select Large Cap Growth Fund,1634.4625413975757
18,AB Growth Fund,DWS Capital Growth Fund,425.1844206723988
19,AB Growth Fund,Delaware Ivy Accumulative Fund,753.5586103427223
20,AB Growth Fund,Delaware Ivy Large Cap Growth Fund,598.6646728281779
21,AB Growth Fund,Edgewood Growth Fund,602.5805613146657
22,AB Growth Fund,Elfun Trusts,995.8191003623133
23,AB Growth Fund,Federated Hermes Kaufmann Lrg Cp Fd,473.6207285495073
24,AB Growth Fund,Fidelity Advisor® Equity Growth Fund,518.1102922415445
25,AB Growth Fund,Fidelity Advisor® Growth Opps Fd,758.3451578763891
26,AB Growth Fund,Fidelity® Capital Appreciation Fund,139.23496897135672
27,AB Growth Fund,Fidelity® Focused Stock Fund,818.2979607987133
28,AB Growth Fund,Fidelity® Growth Discovery Fund,379.76229729109724
29,AB Growth Fund,Fidelity® Large Cap Growth Enh Idx Fd,139.68969673722555
30,AB Growth Fund,Fidelity® Trend Fund,373.1279730078541
31,AB Growth Fund,GuideStone Funds Growth Equity Fund,446.53691344410754
32,AB Growth Fund,Hartford Growth Opportunities Fund,861.9481921241245
33,AB Growth Fund,Invesco Capital Appreciation Fd,525.7778395860187
34,AB Growth Fund,Invesco Summit Fund,487.09753645506254
35,AB Growth Fund,JHFunds2 Capital Appreciation Fund,728.8821030585158
36,AB Growth Fund,JHancock Blue Chip Growth Fund,583.4214469753199
37,AB Growth Fund,JHancock US Global Leaders Growth Fund,590.151029868634
38,AB Growth Fund,JNL/BlackRock Large Cap Select Growth Fd,351.2886477827077
39,AB Growth Fund,JNL/T. Rowe Price Established Growth Fd,402.484233233958
40,AB Growth Fund,Jackson Square Large Cap Growth Fd,678.1103032825447
41,AB Growth Fund,Janus Henderson Forty Fund,443.46402613403546
42,AB Growth Fund,Janus Henderson Research Fund,358.6894763957464
43,AB Growth Fund,John Hancock Funds III U.S. Growth Fd,300.0360963918674
44,AB Growth Fund,Loomis Sayles Growth Fund,466.90836564724987
45,AB Growth Fund,Lord Abbett Growth Leaders Fund,648.3521921042651
46,AB Growth Fund,MFS Massachusetts Investors Gr Stk Fund,528.8190843757712
47,AB Growth Fund,MainStay WMC Growth Fd,231.6064065654468
48,AB Growth Fund,Morgan Stanley Insight Fund,1028.8718310383933
49,AB Growth Fund,Neuberger Berman Large Cap Growth Fund,451.2120286848451
50,AB Growth Fund,Nuveen Winslow Large-Cap Growth ESG Fund,218.3842957039505
51,AB Growth Fund,Optimum Large Cap Growth Fund,421.674825371584
52,AB Growth Fund,PACE Large Co Growth Equity Invmt,543.4689305259319
53,AB Growth Fund,PGIM Jennison Blend Fund,241.86509621569937
54,AB Growth Fund,PGIM Jennison Growth Fund,729.914285226708
55,AB Growth Fund,Pioneer Disciplined Growth Fund,260.02567780930224
56,AB Growth Fund,Pioneer Fundamental Growth Fund,919.5203526447907
57,AB Growth Fund,Polen Growth Fund,421.9009114709139
58,AB Growth Fund,PrimeCap Odyssey Growth Fund,630.7436124687626
59,AB Growth Fund,Principal LargeCap Growth Fund I,153.15025400875362
60,AB Growth Fund,Putnam Large Cap Growth Fund,319.4431726480845
61,AB Growth Fund,Putnam Sustainable Leaders Fund,583.0623095865847
62,AB Growth Fund,SEI Large Cap Growth (SIMT) Fund,512.5560652604734
63,AB Growth Fund,Schwab Select Large Cap Growth Fund,566.3154628682846
64,AB Growth Fund,T. Rowe Price Instl Large Cap Core Gr Fd,536.431302477473
65,AB Growth Fund,TCW Select Equities Fund,591.3564689708646
66,AB Growth Fund,TIAA-CREF Large-Cap Growth Fund,634.2490278155012
67,AB Growth Fund,Thrivent Large Cap Growth Fund,92.79797205332648
68,AB Growth Fund,Transamerica Capital Growth Fund,919.0298316413532
69,AB Growth Fund,Transamerica US Growth,453.0481450525755
70,AB Growth Fund,VALIC Company I Growth Fund,249.1796620289454
71,AB Growth Fund,VY® T. Rowe Price Growth Equity Port,465.5335278411965
72,AB Growth Fund,Vanguard US Growth Portfolio,473.2401212347147
73,AB Growth Fund,Victory Aggressive Growth,485.72258181098175
74,AB Growth Fund,Victory Growth,591.481799158417
75,AB Growth Fund,Voya Large Cap Growth Port,790.646847174719
76,AB Growth Fund,Wedgewood Fund,577.4068467872389
77,AMG Montrusco Bolton Large Cap Growth Fd,Alger Capital Appreciation Fund,986.8164867628446
78,AMG Montrusco Bolton Large Cap Growth Fd,Alger Capital Appreciation Instl Fd,1078.3046060193149
79,AMG Montrusco Bolton Large Cap Growth Fd,Alger Spectra Fund,1004.8706432082164
80,AMG Montrusco Bolton Large Cap Growth Fd,Allspring Growth Fund,859.2343024520402
81,AMG Montrusco Bolton Large Cap Growth Fd,Allspring Large Cap Growth Fund,639.0851120224839
82,AMG Montrusco Bolton Large Cap Growth Fd,Allspring Premier Large Company GrFd,797.885907193293
83,AMG Montrusco Bolton Large Cap Growth Fd,American Century NT Growth Fund,948.2027663242961
84,AMG Montrusco Bolton Large Cap Growth Fd,American Century Select Fund,816.3728306269029
85,AMG Montrusco Bolton Large Cap Growth Fd,BNY Mellon Research Growth Fund,827.3537768885781
86,AMG Montrusco Bolton Large Cap Growth Fd,BlackRock Capital Appreciation Fund,858.374432621154
87,AMG Montrusco Bolton Large Cap Growth Fd,BlackRock Large Cap Focus Growth Fund,931.65395404185
88,AMG Montrusco Bolton Large Cap Growth Fd,Calamos Growth Fund,861.887849745664
89,AMG Montrusco Bolton Large Cap Growth Fd,Calvert Equity Fund,927.9881269452196
90,AMG Montrusco Bolton Large Cap Growth Fd,ClearBridge Large Cap Growth Fund,865.0402765093677
91,AMG Montrusco Bolton Large Cap Growth Fd,Columbia Large Cap Growth Fund,878.2435745486805
